wound,inference_time,transfer_file_size,donor_file_size,frontend_K_time,frontend_execution_time,frontend_save_time,backend_load_time,backend_execution_time,backend_result_time,frontend_time,backend_time,final_result_load_time,surgery_time
"[11, 16]",0.1947789192199707,4014836,25,0.004437923431396484,0.2680990695953369,0.008871793746948242,0.07080984115600586,0.37453579902648926,0.0005350112915039062,0.27697086334228516,0.445880651473999,0.0001380443572998047,0.722989559173584
"[12, 14]",0.18050813674926758,4014836,25,0.004951000213623047,0.2544429302215576,0.007861137390136719,0.07314205169677734,0.38706111907958984,0.0005190372467041016,0.26230406761169434,0.4607222080230713,0.00013184547424316406,0.7231581211090088
"[12, 16]",0.18355727195739746,4014834,25,0.004305124282836914,0.2661149501800537,0.008347034454345703,0.07274317741394043,0.37113189697265625,0.0004858970642089844,0.2744619846343994,0.44436097145080566,0.0001308917999267578,0.7189538478851318
"[13, 14]",0.2013988494873047,6423288,25,0.004561901092529297,0.26618218421936035,0.011033058166503906,0.11430811882019043,0.3770787715911865,0.0004830360412597656,0.27721524238586426,0.4918699264526367,0.00012493133544921875,0.7692101001739502
"[13, 16]",0.17603826522827148,6423286,25,0.0043337345123291016,0.26775407791137695,0.010448217391967773,0.12337613105773926,0.3798069953918457,0.00048613548278808594,0.2782022953033447,0.503669261932373,0.000125885009765625,0.7819974422454834
"[15, 14]",0.18963098526000977,6423286,25,0.004434108734130859,0.2716207504272461,0.010479211807250977,0.11805295944213867,0.3742351531982422,0.001569986343383789,0.28209996223449707,0.49385809898376465,0.00011682510375976562,0.7760748863220215
"[15, 16]",0.19528508186340332,6423284,25,0.004446983337402344,0.28139495849609375,0.009560108184814453,0.11035013198852539,0.38192105293273926,0.0016818046569824219,0.2909550666809082,0.49395298957824707,0.00011897087097167969,0.785027027130127
[17],0.18539118766784668,3211748,25,0.002750873565673828,0.2812659740447998,0.0073511600494384766,0.05536198616027832,0.3659811019897461,0.0015971660614013672,0.2886171340942383,0.4229402542114258,0.0001289844512939453,0.711686372756958
[18],0.20571303367614746,3211766,25,0.002994060516357422,0.27881765365600586,0.005204916000366211,0.052498817443847656,0.39045095443725586,0.00048804283142089844,0.28402256965637207,0.4434378147125244,0.00013065338134765625,0.7275910377502441
[27],0.17476415634155273,3211752,25,0.003423929214477539,0.3281562328338623,0.006087303161621094,0.05327105522155762,0.3670780658721924,0.0016429424285888672,0.3342435359954834,0.42199206352233887,0.0001289844512939453,0.7563645839691162
[28],0.1816539764404297,3211766,25,0.0027189254760742188,0.3198740482330322,0.006040096282958984,0.05520296096801758,0.35920214653015137,0.0005290508270263672,0.3259141445159912,0.4149341583251953,0.00013327598571777344,0.7409815788269043
[37],0.19585514068603516,3211752,25,0.0026950836181640625,0.353975772857666,0.007266044616699219,0.0506749153137207,0.3454878330230713,0.001589059829711914,0.36124181747436523,0.3977518081665039,0.00014495849609375,0.7591385841369629
[38],0.17940282821655273,3211766,25,0.0027251243591308594,0.3532109260559082,0.0052280426025390625,0.05094718933105469,0.3421742916107178,0.0015819072723388672,0.35843896865844727,0.39470338821411133,0.00011801719665527344,0.7532603740692139
"[39, 46]",0.1759507656097412,2007800,25,0.004335880279541016,0.36509203910827637,0.0047512054443359375,0.03432512283325195,0.33417701721191406,0.0016069412231445312,0.3698432445526123,0.37010908126831055,0.0001418590545654297,0.7400941848754883
"[39, 48]",0.1883389949798584,2007798,25,0.0045092105865478516,0.3702237606048584,0.004477977752685547,0.03250622749328613,0.34189701080322266,0.00047588348388671875,0.37470173835754395,0.3748791217803955,0.00011324882507324219,0.7496941089630127
"[40, 46]",0.1647322177886963,2007798,25,0.0043790340423583984,0.37441468238830566,0.005087852478027344,0.03509092330932617,0.3437018394470215,0.0007491111755371094,0.379502534866333,0.37954187393188477,0.0001499652862548828,0.7591943740844727
"[40, 48]",0.15901589393615723,2007796,25,0.004339933395385742,0.3796401023864746,0.004453182220458984,0.03286314010620117,0.327833890914917,0.0015859603881835938,0.3840932846069336,0.36228299140930176,0.00010609626770019531,0.7464823722839355
"[41, 46]",0.1708521842956543,2007798,25,0.00442194938659668,0.3684680461883545,0.004636049270629883,0.031561851501464844,0.3312697410583496,0.0005152225494384766,0.3731040954589844,0.36334681510925293,0.00011491775512695312,0.7365658283233643
"[41, 48]",0.18302178382873535,2007796,25,0.004415035247802734,0.37558817863464355,0.004503011703491211,0.032471656799316406,0.33067893981933594,0.0015990734100341797,0.38009119033813477,0.3647496700286865,0.00013208389282226562,0.7449729442596436
"[42, 46]",0.16924476623535156,2007800,25,0.004579067230224609,0.3713340759277344,0.005508899688720703,0.03260016441345215,0.3456850051879883,0.0004849433898925781,0.3768429756164551,0.378770112991333,0.00015807151794433594,0.7557711601257324
"[42, 48]",0.16295599937438965,2007798,25,0.00445103645324707,0.38443922996520996,0.0043828487396240234,0.03375601768493652,0.3368661403656006,0.0015921592712402344,0.388822078704834,0.37221431732177734,0.00012111663818359375,0.7611575126647949
"[43, 46]",0.1823561191558838,2007798,25,0.004515886306762695,0.3860280513763428,0.0045261383056640625,0.03143501281738281,0.34241604804992676,0.0005052089691162109,0.39055418968200684,0.3743562698364258,0.00011396408081054688,0.7650244235992432
"[43, 48]",0.17357730865478516,2007796,25,0.0046007633209228516,0.3974902629852295,0.004354953765869141,0.03115987777709961,0.3320128917694092,0.0015878677368164062,0.40184521675109863,0.3647606372833252,0.00012493133544921875,0.766730785369873
"[44, 46]",0.16836094856262207,2007798,25,0.004575014114379883,0.3931288719177246,0.0044901371002197266,0.03252911567687988,0.34084606170654297,0.0015769004821777344,0.39761900901794434,0.3749520778656006,0.0001068115234375,0.7726778984069824
"[44, 48]",0.19255399703979492,2007796,25,0.0044231414794921875,0.4097468852996826,0.003709077835083008,0.029269695281982422,0.32821035385131836,0.0015892982482910156,0.4134559631347656,0.3590693473815918,0.00013113021850585938,0.7726564407348633
"[45, 46]",0.17148613929748535,3212024,25,0.004581928253173828,0.38999509811401367,0.00580596923828125,0.048616886138916016,0.34099388122558594,0.0015761852264404297,0.3958010673522949,0.3911869525909424,0.000125885009765625,0.7871139049530029
"[45, 48]",0.1735532283782959,3212022,25,0.004516124725341797,0.3972928524017334,0.006080150604248047,0.04879260063171387,0.3290548324584961,0.0005056858062744141,0.40337300300598145,0.3783531188964844,0.00012087821960449219,0.7818470001220703
"[47, 46]",0.18717288970947266,3212022,25,0.0045108795166015625,0.40399885177612305,0.00542902946472168,0.048677921295166016,0.32610511779785156,0.0005221366882324219,0.4094278812408447,0.37530517578125,0.00013518333435058594,0.7848682403564453
"[47, 48]",0.17658114433288574,3212020,25,0.0054018497467041016,0.4204220771789551,0.007625102996826172,0.05297994613647461,0.3275728225708008,0.0005140304565429688,0.42804718017578125,0.38106679916381836,0.00011110305786132812,0.8092250823974609
[49],0.1683521270751953,1606120,25,0.003091096878051758,0.4273979663848877,0.0034470558166503906,0.02263784408569336,0.3217458724975586,0.001592874526977539,0.4308450222015381,0.3459765911102295,0.00013375282287597656,0.7769553661346436
[50],0.17100214958190918,1606136,25,0.0027158260345458984,0.40939903259277344,0.0057027339935302734,0.02325606346130371,0.3572521209716797,0.0005357265472412109,0.4151017665863037,0.3810439109802246,0.00013184547424316406,0.7962775230407715
[59],0.17161297798156738,1606120,25,0.00286102294921875,0.45939207077026367,0.002404928207397461,0.02384495735168457,0.3214089870452881,0.001600027084350586,0.46179699897766113,0.34685397148132324,0.0001461505889892578,0.8087971210479736
[60],0.17945289611816406,1606136,25,0.002919912338256836,0.44698119163513184,0.0031919479370117188,0.023141860961914062,0.3161509037017822,0.0015938282012939453,0.45017313957214355,0.34088659286499023,0.00013518333435058594,0.7911949157714844
[69],0.18255209922790527,1606120,25,0.0027053356170654297,0.4970228672027588,0.0035178661346435547,0.02411174774169922,0.3079202175140381,0.0005028247833251953,0.5005407333374023,0.3325347900390625,0.000102996826171875,0.8331785202026367
[70],0.17319989204406738,1606136,25,0.003909111022949219,0.5239641666412354,0.002959012985229492,0.022891998291015625,0.2983059883117676,0.0004999637603759766,0.5269231796264648,0.3216979503631592,0.00011014938354492188,0.848731279373169
[79],0.1661386489868164,1606120,25,0.0030219554901123047,0.5515651702880859,0.0027098655700683594,0.023521900177001953,0.298234224319458,0.0005037784576416016,0.5542750358581543,0.32225990295410156,0.00010800361633300781,0.8766429424285889
[80],0.1775970458984375,1606136,25,0.002688169479370117,0.5410962104797363,0.0035247802734375,0.023957014083862305,0.29257988929748535,0.0018470287322998047,0.5446209907531738,0.31838393211364746,0.0001270771026611328,0.8631319999694824
"[81, 88]",0.16914796829223633,1004280,25,0.0046579837799072266,0.5580031871795654,0.0021970272064208984,0.015256166458129883,0.28980398178100586,0.0004839897155761719,0.5602002143859863,0.3055441379547119,9.965896606445312e-05,0.8658440113067627
"[81, 90]",0.17237281799316406,1004278,25,0.004438877105712891,0.5662598609924316,0.0022499561309814453,0.01628899574279785,0.2887458801269531,0.0005068778991699219,0.5685098171234131,0.3055417537689209,0.00010800361633300781,0.874159574508667
"[82, 88]",0.16876006126403809,1004278,25,0.004339933395385742,0.5773711204528809,0.002469778060913086,0.015506982803344727,0.29108595848083496,0.001600027084350586,0.579840898513794,0.3081929683685303,0.00011229515075683594,0.888146162033081
