wound,inference_time,transfer_file_size,frontend_execution_time,frontend_save_time,frontend_time
"[(110, 1)]",1.8116297721862793,803312,4.672624111175537,0.43291163444519043,5.1055357456207275
"[(111, 1)]",1.8667542934417725,201202,4.645440101623535,0.044248342514038086,4.689688444137573
"[(112, 1)]",2.2618794441223145,201200,5.7009570598602295,0.04543113708496094,5.74638819694519
"[(113, 1)]",1.8326501846313477,201200,4.7040746212005615,0.042298078536987305,4.746372699737549
"[(114, 1)]",1.8034436702728271,201202,4.7423951625823975,0.0487978458404541,4.791193008422852
"[(115, 1)]",1.836261510848999,201200,4.83493185043335,0.044298648834228516,4.879230499267578
"[(116, 1)]",1.7867767810821533,201200,4.82642388343811,0.0490880012512207,4.875511884689331
"[(117, 1)]",1.8378992080688477,803314,4.8698410987854,0.08774876594543457,4.957589864730835
"[(118, 1)]",1.8101189136505127,803312,4.932372808456421,0.08857178688049316,5.020944595336914
"[(119, 1)]",1.8476338386535645,803298,5.010206937789917,0.08626961708068848,5.0964765548706055
"[(120, 1)]",1.8096694946289062,803312,5.444739580154419,0.11963057518005371,5.564370155334473
"[(121, 1)]",2.815171480178833,201202,5.054513216018677,0.04838061332702637,5.102893829345703
"[(122, 1)]",1.827247142791748,201200,5.118407964706421,0.044298648834228516,5.162706613540649
"[(123, 1)]",1.8244845867156982,201200,5.017367839813232,0.04490017890930176,5.062268018722534
"[(124, 1)]",1.8246328830718994,201202,5.161661386489868,0.0452423095703125,5.206903696060181
"[(125, 1)]",1.8062076568603516,201200,5.161918878555298,0.055063724517822266,5.21698260307312
"[(126, 1)]",1.8304738998413086,201200,5.160624027252197,0.042562007904052734,5.20318603515625
"[(127, 1)]",1.7877514362335205,803314,5.1995017528533936,0.4189794063568115,5.618481159210205
"[(128, 1)]",1.8874318599700928,803312,5.2853844165802,0.08988046646118164,5.375264883041382
"[(129, 1)]",2.3267364501953125,803298,6.211148738861084,0.09035325050354004,6.301501989364624
"[(130, 1)]",1.8232090473175049,803312,5.27244234085083,0.08548951148986816,5.357931852340698
"[(131, 1)]",1.8331682682037354,201202,5.3293328285217285,0.04598855972290039,5.375321388244629
"[(132, 1)]",1.8237638473510742,201200,5.3663952350616455,0.044658660888671875,5.411053895950317
"[(133, 1)]",1.8027827739715576,201200,5.389394760131836,0.5493302345275879,5.938724994659424
"[(134, 1)]",1.8754103183746338,201202,5.440831422805786,0.045136213302612305,5.485967636108398
